gsis_id,name,position,team,age,receptions_per_game,targets_per_game,receiving_yards_per_game,receiving_tds_per_game,rushing_yards_per_game,rushing_tds_per_game,points_per_game
00-0041476,Rashad Rochelle,WR,SEA,22.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041299,Cameron Ross,WR,DEN,25.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041380,Devonte Ross,WR,LAC,23.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040633,Kyrese Rowan,WR,DEN,25.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040646,Jalen Royals,WR,KC,23.52,1.0,1.5,2.0,0.0,0.0,0.0,1.2
00-0041005,Corey Rucker,WR,LV,24.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041475,Trayvon Rudolph,WR,MIN,24.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0035719,Deebo Samuel Sr.,WR,SF,30.61,4.07,5.901,48.015,0.309,8.066,0.117,12.241
00-0041352,Marcus Sanders Jr.,WR,MIN,22.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040876,Elijah Sarratt,WR,BAL,23.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041308,Treyvhon Saunders,WR,HOU,22.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0038941,Tyler Scott,WR,LA,24.87,0.337,0.567,2.959,0.0,0.63,0.0,0.6659999999999999
00-0037545,Rashid Shaheed,WR,SEA,27.98,3.253,5.604,46.122,0.271,3.858,0.0,10.541
00-0037261,Khalil Shakir,WR,BUF,26.56,4.259,5.533,46.526999999999994,0.22999999999999998,0.36,0.0,10.265
00-0041233,Raylen Sharpe,WR,IND,24.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0038679,Tyrell Shavers,WR,BUF,27.02,0.98,1.345,31.835,0.345,0.0,0.0,6.24
00-0041201,DT Sheffield,WR,NYJ,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0032385,Sterling Shepard,WR,HOU,33.54,2.4379999999999997,3.656,23.116999999999997,0.084,2.4429999999999996,0.0,5.455
00-0040753,Will Sheppard,WR,GB,24.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0034487,Trent Sherfield,WR,BUF,30.49,0.761,1.232,6.103,0.041999999999999996,0.0,0.0,1.617
00-0035359,David Sills,WR,TB,31.24,0.75,1.5,7.96,0.085,0.0,0.0,2.045
00-0040406,Quentin Skinner,WR,BUF,24.67,1.0,1.0,10.0,0.0,0.0,0.0,4.0
00-0040553,Quincy Skinner Jr.,WR,NYJ,23.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0036862,Ben Skowronek,WR,PIT,29.16,0.41700000000000004,0.542,5.4719999999999995,0.046,0.13799999999999998,0.0,1.256
00-0035535,Darius Slayton,WR,NYG,29.62,2.64,4.5120000000000005,39.016,0.119,0.318,0.0,7.37
00-0040900,Anthony Smith,WR,DAL,24.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040582,Arian Smith,WR,NYJ,24.87,0.54,1.23,4.0,0.0,1.0,0.0,1.04
00-0036775,Brandon Smith,WR,PIT,27.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0036912,DeVonta Smith,WR,PHI,27.78,4.846,6.78,62.193,0.394,0.024,0.0,13.383
00-0040769,Jaden Smith,WR,DAL,24.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040989,Octavian Smith,WR,BAL,23.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0038359,Xavier Smith,WR,LA,28.93,0.6020000000000001,0.792,9.599,0.0,0.7709999999999999,0.0,1.642
00-0036635,Ihmir Smith-Marsette,WR,ARI,26.99,0.094,0.118,0.6000000000000001,0.0,0.87,0.012,0.502
00-0038543,Jaxon Smith-Njigba,WR,SEA,24.53,6.006,8.307,80.064,0.44799999999999995,1.5190000000000001,0.0,16.811
00-0033857,JuJu Smith-Schuster,WR,NYG,29.76,1.99,2.887,21.173000000000002,0.10200000000000001,0.0,0.0,4.719
00-0041309,Daniel Sobkowicz,WR,HOU,23.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0036963,Amon-Ra St. Brown,WR,DET,26.84,6.956,9.597,82.43,0.662,0.67,0.0,19.246
00-0041035,De'Zhaun Stribling,WR,SF,23.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040948,J. Michael Sturdivant,WR,GB,23.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0034348,Courtland Sutton,WR,DEN,30.88,4.430999999999999,7.301,59.828,0.479,0.0,0.0,13.344
00-0041438,Carnell Tate,WR,TEN,21.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040531,Roc Taylor,WR,CAR,24.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040669,Isaac TeSlaa,WR,DET,24.51,1.14,1.93,17.07,0.43,0.0,0.0,5.42
00-0039893,Brian Thomas Jr.,WR,JAX,23.88,4.06375,6.994999999999999,59.841249999999995,0.30874999999999997,1.9949999999999999,0.043750000000000004,12.459999999999999
00-0041248,Noah Thomas,WR,CIN,22.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041051,Zavion Thomas,WR,CHI,22.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0037487,Deven Thompkins,WR,LV,26.67,0.655,0.749,4.106,0.012,1.433,0.0,1.2570000000000001
00-0041550,Brenen Thompson,WR,LAC,23.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040581,Dont'e Thornton Jr.,WR,LV,23.73,0.91,2.73,12.27,0.0,0.0,0.0,2.14
00-0038104,Tyquan Thornton,WR,KC,26.05,1.3780000000000001,2.652,23.797,0.125,1.1340000000000001,0.0,4.62
00-0039379,Jamari Thrash,WR,CLE,25.68,0.96875,1.6137499999999998,9.73875,0.0,0.0,0.0,1.9449999999999998
00-0038979,Cedric Tillman,WR,CLE,26.35,2.223,4.057,26.622999999999998,0.184,-0.02200000000000002,0.0,5.983
00-0038839,Mitchell Tinsley,WR,CIN,26.94,0.5,1.5,7.25,0.125,0.0,0.0,1.975
00-0039623,Mason Tipton,WR,NO,25.91,1.4474999999999998,2.4087500000000004,10.0625,0.0,1.40625,0.0,2.59125
00-0037666,Jalen Tolbert,WR,MIA,27.49,1.928,3.324,23.052,0.19099999999999998,0.0,0.0,5.4799999999999995
00-0041274,Max Tomczak,WR,BUF,23.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0037098,Samori Toure,WR,PHI,28.42,0.7,1.95,3.45,0.0,0.0,0.0,1.096
00-0036841,Austin Trammell,WR,JAX,28.14,0.904,1.8289999999999997,16.221,0.0,0.0,0.0,2.527
00-0032951,Laquon Treadwell,WR,IND,31.2,0.066,0.2,1.066,0.0,0.0,0.0,0.17400000000000002
00-0038840,Brycen Tremayne,WR,CAR,26.77,0.615,0.75,5.035,0.0,0.0,0.0,1.12
00-0038563,Tre Tucker,WR,LV,25.47,2.795,4.657,35.075,0.22899999999999998,3.461,0.018,8.142
00-0034867,Malik Turner,WR,SF,30.57,0.0,0.25,0.0,0.0,0.0,0.0,0.0
00-0037801,KaVontae Turpin,WR,DAL,30.06,1.561,2.407,22.201,0.139,5.964,0.012,5.4
00-0041029,Jordyn Tyson,WR,NO,22.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0034272,Marquez Valdes-Scantling,WR,DAL,31.87,1.48,3.148,20.089000000000002,0.16,0.093,0.0,4.436
00-0039424,Devaughn Vele,WR,NO,28.7,2.9187499999999993,4.2924999999999995,34.052499999999995,0.22375,0.0,0.0,7.677499999999999
00-0041070,Reggie Virgil,WR,ARI,22.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0036613,Jaylen Waddle,WR,DEN,27.75,4.189,6.27,57.806000000000004,0.28700000000000003,1.287,0.0,11.894
00-0039259,Dayton Wade,WR,BAL,25.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0039792,Devontez Walker,WR,BAL,25.18,0.5925,1.0,13.25,0.36124999999999996,0.0,0.0,4.0737499999999995
00-0040277,Jahdae Walker,WR,CHI,24.14,1.0,1.67,14.5,0.33,0.0,0.0,4.45
00-0041368,Harrison Wallace III,WR,ARI,23.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0036630,Tylan Wallace,WR,CLE,27.29,0.49000000000000005,0.731,7.2349999999999985,0.069,0.0,0.0,1.8359999999999999
